twitch,rank_A,rank,num_days_chat,num_days_video,followers_03
"thebigkao",0,"C",0,0,18
"niboom89",0,"C",0,0,3
"lukeenxy",0,"C",0,0,90
"an1k1ngaming",0,"C",0,0,3
"bot_sh4rk",0,"C",0,0,60
"esea_r00t",0,"C",0,0,14
"fyre1011",0,"C",0,0,44
"adeadkennedy",0,"C",0,0,0
"nwgteddy",0,"C",0,0,23
"sushizcs",0,"C",0,0,31
"codyburrr",0,"C",0,0,5
"thebestbros2",0,"C",0,0,-1
"etossed",0,"C",0,0,100
"bo0mie",0,"C",0,0,6
"chill3k",0,"C",0,0,539
"daylight74",0,"C",0,0,171
"1bennyy",0,"C",0,0,28
"sleepyxd",0,"C",0,0,-1
"bayys",0,"C",0,5,153
"lirimmz",0,"C",0,2,1267
"king_auzie",0,"C",0,2,14
"westcentralzz",0,"C",0,2,37
"kraytosthegod",0,"C",0,4,55
"doubleapple",0,"C",0,6,67
"exc1x",0,"C",0,1,126
"itzace_gg",0,"C",0,2,52
"chqrlslol",0,"C",0,1,14
"cok4in",0,"C",0,1,209
"hokku",0,"C",0,2,46
"masstibbs",0,"C",0,1,28
"crimgame",0,"C",0,1,0
"xajs",0,"C",0,1,634
"kimatarokisharo",0,"C",0,1,13
"birdman2642",0,"D",5,3,26
"xxslayerrulesxx",0,"D",4,7,124
"flippybitsgg",0,"D",6,9,291
"mattcdoeyt",0,"D",3,2,173
"voltz420",0,"D",7,13,846
"hobbitender",0,"D",1,2,13
"realxsg",0,"D",2,5,734
"reekris87",0,"D",3,6,801
"daedus",0,"D",2,1,81
"naynay2003",0,"D",1,2,21
"zan0theman0",0,"D",4,9,848
"str8razor",0,"D",2,1,217
"spookeehead",0,"D",2,1,57
"swifttt_tv",0,"D",2,1,101
"polaroidnx",0,"D",2,4,41
"doctormonsta",0,"D",1,1,50
"feralcod",0,"D",1,1,90
"namhel_cs",0,"D",5,6,224
"genesis_j",0,"D",1,10,108
"allingaming23",0,"D",7,13,150
"andrhw",0,"D",1,3,52
"smithninjas",0,"D",4,9,684
"ttvnyko",0,"D",5,9,-1
"natani_k",0,"D",1,5,34
"vitobad",0,"D",3,0,195
"fruxc",0,"D",2,0,99
"itssnow_cs",0,"D",2,0,-1
"jethro_sb",0,"D",1,0,31
"josh_ortega",0,"D",1,0,174
"roarthor",0,"D",2,0,27
"ezgrub",0,"D",1,0,117
"itaroo_bot",0,"D",1,0,-1
"shostak",0,"D",2,0,529
"daseegs",0,"D",1,0,61
"sbunkwn",0,"D",0,0,-1
"bryanhardy121",0,"D",0,0,0
"rabbit_2117",0,"D",0,0,0
"checkodaplug",0,"D",0,0,9
"8eartrap",0,"D",0,0,410
"drunklypuff",0,"D",0,0,13
"frino",0,"D",0,0,0
"gamingnos",0,"D",0,0,85
"aecolin",0,"D",0,0,-1
"pyuxfn",0,"D",0,0,383
"pawesome28",0,"D",0,0,7
"synge",0,"D",0,0,95
"quantum_0",0,"D",0,0,38
"bankzcs",0,"D",0,0,43
"staxx801",0,"D",0,0,22
"to3tagz",0,"D",0,0,29
"modernkeyboard",0,"D",0,0,19
"lilpanda285",0,"D",0,0,-1
"randomainia",0,"D",0,0,1
"imadoritoaddict",0,"D",0,0,-1
"the_merit",0,"D",0,0,1
"igodplayz",0,"D",0,0,83
"sigilover",0,"D",0,0,-1
"sambosaiz",0,"D",0,0,2
"readdyeddy",0,"D",0,0,15
"rovszn",0,"D",0,0,2
"fpsfootwork",0,"D",0,0,-1
"habashii",0,"D",0,0,14
"friskytv",0,"D",0,0,1204
"alcapone807",0,"D",0,0,3
"gm_rel",0,"D",0,0,-1
"killswitch_srx",0,"D",0,0,-1
"crossbar18",0,"D",0,0,46
"h0pt0wn",0,"D",0,0,86
"venezuelanbean",0,"D",0,0,3
"palombatv",0,"D",0,0,27
"christianmvasquez",0,"D",0,0,8
"creationfml",0,"D",0,0,21
"sstubborn",0,"D",0,0,8
"runawaychickenx",0,"D",0,0,338
"pandacchaos",0,"D",0,0,22
"roguexlimitz",0,"D",0,0,17
"bocumah",0,"D",0,0,258
"v0idzerr0r",0,"D",0,0,10
"zigster",0,"D",0,0,43
"fazex_cs",0,"D",0,0,16
"itswokkk",0,"D",0,0,12
"xzhuu",0,"D",0,0,179
"imbennyb",0,"D",0,0,12
"bosschiefman",0,"D",0,0,11
"kck4",0,"D",0,0,73
"palummbus",0,"D",0,0,10
"nape",0,"D",0,0,10
"smoakland22",0,"D",0,0,3
"reedwh",0,"D",0,0,17
"soggybiscuit99",0,"D",0,0,25
"rogerbiometal",0,"D",0,0,298
"chimu90",0,"D",0,0,155
"idkhdd",0,"D",0,0,7
"evolusionz",0,"D",0,0,16
"trixster604",0,"D",0,0,-1
"twe4ke",0,"D",0,0,19
"jitterscs",0,"D",0,0,44
"katernum",0,"D",0,2,27
"gtjninjaboy",0,"D",0,1,8
"drrtysal",0,"D",0,2,17
"thepockypanduh",0,"D",0,2,62
"alexastro",0,"D",0,6,116
"r3nch",0,"D",0,1,13
